"BGCI.GardenID","CountryCode","Institution","City","State","IHCODE","InstitutionType","Latitude","Longitude"
1159,"US","Mount Pisgah Arboretum","Eugene","Oregon","MTPA","Botanic Garden",44.006974,-122.980743
1160,"US","Nebraska Statewide Arboretum","Lincoln","Nebraska","NEB","Botanic Garden",40.834923,-96.664233
1161,"US","Niguel Botanical Preserve","Laguna Niguel","California","Null","Botanic Garden",33.531289,-117.709161
1162,"US","David C. Shaw Arboretum at Holmdel Park","Holmdel","New Jersey","HOLMA","Botanic Garden",40.375792,-74.185653
1163,"US","Lady Bird Johnson Wildflower Center","Austin","Texas","NWRCA","Botanic Garden",30.186391,-97.874218
1166,"US","Snug Harbor Cultural Center & Botanical Garden (Staten Island Botanical Garden)","Staten Island","New York","STATN","Botanic Garden",40.644051,-74.101755
1167,"US","Tucson Botanical Gardens","Tucson","Arizona","TUSCO","Botanic Garden",32.248523,-110.908785
1168,"US","Botanical Gardens at Asheville$$ The","Asheville","North Carolina","ASHEV","Botanic Garden",35.612478,-82.566015
1169,"US","Walt Disney World - Disney's Horticulture","Lake Buena Vista","Florida","DISWR","Other",28.372048,-81.5494
4195,"IN","Botanic Garden of Indian Republic","NOIDA","Uttar Pradesh","BGIR","Botanic Garden",28.58,77.33
1171,"US","Wrigley Memorial & Botanical Garden","Avalon","California","AVALO","Botanic Garden",33.323901,-118.341844
1172,"US","Hershey Gardens","Hershey","Pennsylvania","HERSG","Botanic Garden",40.295293,-76.664637
1173,"US","Harry P. Leu Gardens","Orlando","Florida","ORLEU","Botanic Garden",28.5676,-81.35538
1174,"US","University of Central Florida Arboretum","Orlando","Florida","ORLAA","Other",28.597227,-81.203795
1175,"US","Chihuahuan Desert Nature Center & Botanical Gardens","Fort Davis","Texas","CHIHU","Botanic Garden",30.606022,-103.9779839
1177,"US","North Carolina Arboretum$$ The","Asheville","North Carolina","WNCA","Botanic Garden",35.496252,-82.609461
1178,"US","Bayou Bend Gardens","Houston","Texas","BAYOU","Botanic Garden",29.758588,-95.42195
1179,"US","Green Bay Botanical Garden","Green Bay","Wisconsin","Null","Botanic Garden",44.531248,-88.097176
1180,"US","Houston Arboretum & Nature Center","Houston","Texas","HARNC","Botanic Garden",29.767022,-95.452609
1181,"US","Arizona-Sonora Desert Museum","Tucson","Arizona","ASDM","Botanic Garden",32.244073,-111.16797
1182,"US","Lewis Ginter Botanical Garden","Richmond","Virginia","LWGBG","Botanic Garden",37.620117,-77.46924
1183,"US","Rogue Community College Arboretum","Grants Pass","Oregon","GRANT","Botanic Garden",42.412816,-123.389486
1184,"US","DuPage Forest: Forest Preserve District of DuPage County","Wheaton","Illinois","FPDGE","Other",41.819048,-88.112411
1185,"US","Lowry Park Zoo","Tampa","Florida","TAMPL","Zoological Institution",28.010775,-82.471683
1186,"US","Winkler Botanical Preserve","Alexandria","Virginia","Null","Botanic Garden",38.827292,-77.125951
1187,"US","Kalamazoo Nature Center","Kalamazoo","Michigan","KALAM","Other",42.361932,-85.590274
1188,"US","Living Desert Zoo & Gardens State Park","Carlsbad","New Mexico","LIDSP","Zoological Institution",32.44187,-104.27941
1189,"US","Cox Arboretum Metropark","Dayton","Ohio","COX","Botanic Garden",39.655374,-84.224265
1190,"US","Inniswood Metro Gardens","Westerville","Ohio","INNIS","Botanic Garden",40.103614,-82.897488
1191,"US","Manito Park & Gardens","Spokane","Washington","MANPG","Botanic Garden",47.635508,-117.412865
1192,"US","Fuller Gardens","North Hampton","New Hampshire","FULGN","Botanic Garden",42.961045,-70.774213
1194,"US","Magnolia Plantation and Gardens","Charleston","South Carolina","MAGPG","Botanic Garden",32.85255,-80.068711
3618,"NL","Stichting Passiflorahoeve","Harskamp","Null","HARSK","Other",52.1325,5.7725
1195,"US","Duke Farms","Hillsborough","New Jersey","DUKES","Botanic Garden",40.554528,-74.615532
1196,"US","Sonnenberg Gardens and Mansion","Canandaigua","New York","SONNE","Botanic Garden",42.89818,-77.272071
1197,"US","WRAL Azalea Gardens","Raleigh","North Carolina","WRAL","Botanic Garden",35.779755,-78.673788
1198,"US","International Peace Garden","Dunseith (Boissevain - Canada)","North Dakota (Manitoba - Canada)","Null","Botanic Garden",48.98921,-100.06412
1199,"MX","Jardin Botanico Dr. Faustino Miranda","Tuxtla Gutiérrez","Chiapas","CHIAP","Botanic Garden",16.2581,-92.3009
1200,"MX","Jardin Botanico Didactico de Cactaceas","Mexico City","Null","Null","Botanic Garden",19.427,-99.1275
1201,"MX","Jardin Botanico del Acuario de Mazatlan","Siinaloa","Null","SINAL","Botanic Garden",24.7541,-107.4202
1202,"MX","Jardin Botanico Benjamin F. Johnston","Los Mochis$$ Ahome","Sinaloa","AHOME","Botanic Garden",25.7916,-108.9873
1203,"MX","Pinetum NullMaximino MartinezNull","Estado De Mexico","Null","CHAP","Other",19.3253,-99.6045
1205,"MX","Jardin Botanico Rancho Experimental NullLa CampanaNull","Chihuahua","Null","RELC","Botanic Garden",28.6324,-106.0801
1206,"MX","Jardin Botanico Forestal","D.f.mexico","Null","INIF","Botanic Garden",19.3253,-99.6045
1208,"MX","Jardin Botanico","Fraccionamiento","Null","FRACC","Botanic Garden",31.7363,-116.5796
1209,"MX","Jardin Botanico Jorge Victor Eller T. de la Universidad Autonoma de Guadalajara","Zapopan","Jalisco","GUADA","Botanic Garden",19.3253,-99.6045
1210,"MX","Jardin Botanico de la Universidad Autónoma de Guerrero","Chilpancingo de los Bravo","Guerrero","GUERR","Botanic Garden",17.6006,-100.0952
1211,"MX","Jardin Botanico de Tecolutla","Veracruz","Null","GUTZA","Botanic Garden",19.1727,-96.1332
1212,"MX","Jardin Botanico e Invernadero Iztacala$$","Estado De Mexico","Null","LREYT","Botanic Garden",19.3253,-99.6045
1213,"MX","Jardin Botanico Regional del CICY","Merida","Yucatan","CICY","Botanic Garden",21.0599,-89.3904
1214,"MX","Jardin Botanico","Nuevo Leon","Null","MONTY","Botanic Garden",25.4817,-99.8141
1215,"MX","Jardín Botánico Estatal NullToka$$ naturaleza y culturaNull de la Universidad Autónoma de","Cuernavaca","Morelos","MOREL","Botanic Garden",18.9833,-99.2333
1216,"MX","Jardin Botanico Escuela Secundaria No. 1","Oaxaca","Null","OAXAT","Botanic Garden",17.0594,-96.7216
1217,"MX","Jardin Botanico","Oaxaca","Null","OAXAC","Botanic Garden",17.0594,-96.7216
1218,"MX","Jardin Botanico - Dr. Alfredo Barrera Marin","Chetumal","Quintana Roo","CIQR","Botanic Garden",18.5035,-88.2965
1219,"MX","Estacion de Biologia Tropical Los Tuxtlas","San Andres Tuxtla","Veracruz","SATUX","Other",19.1727,-96.1332
1220,"MX","Jardin Botanico","Tabasco","Null","CSAT","Botanic Garden",21.8643,-102.913
1221,"MX","Jardin Botanico Escuela de Ciencias","Tamauliipas","Null","TAMAU","Botanic Garden",22.2944,-97.8534
1222,"MX","Jardin Botanico NullIng. Gustavo Aguirre BenavidesNull","Coahuila","Null","ANSM","Botanic Garden",32.4457,-114.767
1225,"MW","National Herbarium & Botanic Gardens of Malawi","Zomba","Null","MAL","Botanic Garden",-15.3849,35.3197
1226,"IL","Botanical Garden for Native Flora of Israel","Jerusalem","Null","HUJ","Botanic Garden",31.7857,35.2007
1227,"JP","Hyogo Prefectural Awaji Farm Park","Hyogo","Null","HYOFP","Other",34.8039,135.0284
1228,"JP","Tanegashima Medicinal Plant Research Station","Kumage-gun","Null","Null","Other",36.2048,138.2529
1229,"PG","Lipizauga Botanical Sanctuary","Goroka","Null","LIPIZ","Botanic Garden",-6.1078,145.3946
1230,"US","Hofstra University Arboretum","Hempstead","New York","HOFST","Botanic Garden",40.7141,-73.6003
1231,"US","Bloedel Reserve$$ The","Bainbridge Island","Washington","BLOED","Botanic Garden",47.708173,-122.547126
1232,"US","Wheeler Orchid Collection and Species Bank$$ Ball State University","Muncie","Indiana","WOCSB","Botanic Garden",40.1972321,-85.4088412
1233,"US","Adkins Arboretum","Ridgely","Maryland","ADKA","Botanic Garden",38.9546364,-75.9311554
1234,"US","Green Spring Gardens","Alexandria","Virginia","GSFP","Botanic Garden",38.825177,-77.157892
1235,"US","Berkshire Botanical Garden","Stockbridge","Massachusetts","STOCK","Botanic Garden",42.303322,-73.34314
1236,"US","Dow Gardens","Midland","Michigan","DOWM","Botanic Garden",43.620865,-84.254358
1237,"US","San Antonio Botanical Gardens","San Antonio","Texas","SABG","Botanic Garden",29.459008,-98.457619
1238,"US","Greater Des Moines Botanical Garden","Des Moines","Iowa","DMBC","Botanic Garden",41.5974335,-93.6143564
1239,"US","South Carolina Botanical Garden$$ The","Clemson","South Carolina","CLEMS","Botanic Garden",34.668469,-82.827301
1240,"US","Flamingo Gardens","Davie","Florida","FLAM","Botanic Garden",26.072076,-80.313973
1241,"US","Dallas Arboretum and Botanical Garden","Dallas","Texas","DABS","Botanic Garden",32.823366,-96.71641
1242,"CN","Dongfeng Forest Farm (Guizhou)","Liping","Guizhou","ADFF","Other",26.231,109.1253
1243,"MY","Taman Paku Pakis UKM (Fernarium UKM)","UKM 43600 Bagi","Selangor","UKMB","Botanic Garden",3.2281,101.3863
4174,"AU","Roxby Downs Arboretum","Roxby Downs","South Australia","ROXBY","Botanic Garden",-30.56478,136.89786
1244,"MY","Taman Kiara Arboretum","Kuala Lumpur","Null","Null","Botanic Garden",3.1502,101.7077
1245,"JP","Awaji Farm Park","Nigawa","Null","Null","Other",34.3971,134.8448
1246,"GH","Aburi Botanic Gardens","Aburi","Null","ABURI","Botanic Garden",5.8469,-0.1755
1247,"TH","Eastern (Khao Hin Son) Botanical Garden","Phanom Sarakham district","Chachoengsao province","BKF","Botanic Garden",13.7485,101.3466
1248,"NZ","Wellington Botanic Garden","Wellington","Null","WELTN","Botanic Garden",-41.28316,174.76745
1249,"IN","Forestry Arboretum","Dhaulakuan","Null","DHAUL","Botanic Garden",28.5979,77.1587
1250,"IN","Arboretum","Manali","Null","MANLF","Botanic Garden",32.2861,77.1613
1251,"AU","Lake Esmond Reserve","Ballarat","Null","LEGNF","Other",-37.57503,143.87464
1252,"AU","Dulegal Native Plant Arboretum","Woolomin","Null","DULNP","Botanic Garden",-31.34405,151.14351
1253,"NG","Federal School of Wildlife Management","New Bussa","Null","NBSWM","Other",9.8833,4.5166
1255,"CN","Fujian Subtropical Economic Plant Institute","Xiamen","Fujian","FUJST","Other",24.4777,118.1
1256,"CN","Xishuangbanna Tropical Medicinal Garden (Yunnan)","Jinghong","Yunnan","JINGH","Botanic Garden",22.2083,100.9375
1257,"CN","Huangshan Arboretum","Huangshan","Anhui","TANGK","Botanic Garden",30.1197,118.1931
1258,"CN","Research Institute of Subtropical Forestry (Zhejiang)","Fuyang","Zhejiang","FUYA","Other",32.8944,115.8166
1259,"CN","Sichuan Medicinal Botanical Garden","Nanchuan","Sichuan","NANCH","Botanic Garden",29.167,107.0954
1260,"CN","Chengdu Arboretum (Sichuan)","Chengdu","Sichuan","CHENB","Botanic Garden",30.6555,104.0625
1262,"CN","Xiongyue Arboretum","Xiongyue","Liaoning","XIONG","Botanic Garden",40.5033,122.5332
1263,"TR","Ankara Universitesi","Ankara","Null","ANK","Other",39.9438,32.856
1264,"IE","Talbot Botanic Garden","Malahide","Null","TALB","Botanic Garden",53.4526,-6.1549
1265,"US","Brandywine Conservancy","Chadds Ford","Pennsylvania","BRAND","Botanic Garden",39.869764,-75.59301
1266,"US","Cincinnati Zoo and Botanical Gardens","Cincinnati","Ohio","CINZ","Botanic Garden",39.1413129,-84.510346
1267,"US","Texas Discovery Gardens","Dallas","Texas","DALCC","Botanic Garden",32.776124,-96.760508
1268,"US","Mt. Cuba Center","Hockessin","Delaware","MCCSP","Botanic Garden",39.785615,-75.65002
1269,"US","Dixon Gallery and Gardens$$ The","Memphis","Tennessee","DIXON","Botanic Garden",35.106065,-89.917581
1270,"US","Longue Vue House & Gardens","New Orleans","Louisiana","LVGH","Botanic Garden",29.976929,-90.123549
1271,"US","Crosby Arboretum$$ The","Picayune","Mississippi","CROS","Botanic Garden",30.486501,-89.665889
1273,"US","Woodrow Wilson Birthplace","Staunton","Virginia","WOODB","Botanic Garden",38.150507,-79.068529
1274,"NZ","Pukeiti Garden","New Plymouth","Taranaki","PUKRT","Botanic Garden",-39.20113,173.980916
4888,"US","Abby Aldrich Rockefeller Garden","Seal Harbor","Maine","Null","Botanic Garden",44.303333,-68.240278
1276,"IT","Giardino Botanico Alpino NullS. MarcoNull","Vicenza","Null","VICSM","Botanic Garden",45.5461,11.5503
1277,"GB","Wimborne Botanic Gardens","Wimborne","Null","WIMBO","Botanic Garden",50.799786,-1.917512
1278,"US","Hawaii Tropical Botanical Garden","Papaikou","Hawaii","HILO","Botanic Garden",19.81086,-155.09599
1279,"SA","Madinat Yaubu Al-Sinaiyah Botanic Garden","Riyadh","Null","Null","Botanic Garden",24.6748,46.6977
1280,"US","Idaho Botanical Garden","Boise","Idaho","IDABO","Botanic Garden",43.6024947,-116.1638188
1281,"AT","Alpengarten Villacher Alpe","Villach","Austria","AGVA","Botanic Garden",46.355,13.445
1282,"ES","Jardin Botanico Universitario de Sierra Nevada","Sierra Nevada","Null","SNEV","Botanic Garden",37.2047,-3.5693
1283,"AU","Blue Mountains Botanic Garden$$ Mount Tomah","Mount Tomah","New South Wales","NSW","Botanic Garden",-33.5385949,150.4218137
